thread_id,tweet_id,customer_message,gold_intent,gold_auto_or_escalate,escalation_reason,acceptable_resolution,retrieval_relevance_flag,groundedness_flag,unsupported_claims_flag,evidence_tier,model_suggested_intent
535063,535063,@AmazonHelp hi I bought 3 power supply’s about 32 days ago 2 got returned after 2 weeks after they went bang and now the 3rd has blown too. What can I do about it as I’m out of return by 2 days!,return_refund_request,escalate,Prolonged unresolved refund,Confirm return eligibility; provide return instructions or process refund if already returned,,,,partially_usable,return_refund_request
315022,315022,@AmazonHelp I have not received my order and the app days it's deliver. This is the second time I am facing this issue.,missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,digital_devices_technical_support
555325,555325,"@AmazonHelp Order was delayed, for no reason. It's literally less than an hour away from me, and I have to wait until Monday. Nobody will do anything about it.",delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,delivery_delay_tracking
227112,227112,"@AmazonHelp I sent you a DM, can you help?",other_miscellaneous_feedback,auto_handle,,route compliment or general query to appropriate team.,,,,partially_usable,other_miscellaneous_feedback
352905,352905,"@AmazonHelp Sir, how you can send me subscription item on one time purchase rate, after numerous reminders in these 2 days your side response is pathetic. After subscribing, rarely i see the amount of subscribed product you send.",prime_membership_billing,auto_handle,,: Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
168012,168012,"@AmazonHelp 
What can i do? If i want to start delivery providing business with amazon .. because already i have tried alot of times to call Amazon support team and customer care, Kindly give me the information about ATS and procedures to start the business...",other_miscellaneous_feedback,auto_handle,,,,,,usable,other_miscellaneous_feedback
292903,292903,Hey @AmazonHelp - a seller is refusing to post a denied-return back to me unless I send them money to cover the cost of postage. How do I do that via https://t.co/o8VZEOSVo9 ? Is that allowed?,return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,usable,return_refund_request
378463,378463,@AmazonHelp Buying echo dot will get me prime membership from date of purchase or from the date when my previous membership ends? @115850,prime_membership_billing,auto_handle,,explain charges or adjust trial/membership as appropriate.,,,,usable,prime_membership_billing
239338,239338,We were using Echo every day to listen to ESPNU on Sirius XM. The lat 4 days it states it could not find a station. @AmazonHelp @115833,digital_devices_technical_support,auto_handle,,: Provide device-specific troubleshooting steps or registration/login help.,,,,usable,digital_devices_technical_support
509365,509365,"@AmazonHelp Serious fail when the box I ordered was damaged before shipping! As you can see nothing sharp in the box to create a hole. 
#CustomerExperience https://t.co/kpM3xMtmb7",damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,usable,damaged_defective_wrong_item
183131,183131,@AmazonHelp I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,promotions_gift_cards_policy,auto_handle,,check eligibility or code delivery status.,,,,usable,promotions_gift_cards_policy
566588,566588,@AmazonHelp what is the point of being an Amazon Prime member during the holidays when packages always seem to get delayed?!,delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,prime_membership_billing
598016,598016,Y’all are taking forever to refund my movey @115821 @AmazonHelp,return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
513476,513476,"hey @AmazonHelp, i told my Firestick to play Elf, and it asked me to buy ""Elf - With Special Features."" I thought I already owned it, but I paid another $20. Started to play, but then located my copy of Elf, without special features,  which I also own through Amazon. Help?",digital_devices_technical_support,auto_handle,,Provide device-specific troubleshooting steps or registration/login help.,,,,partially_usable,digital_devices_technical_support
153709,153709,@AmazonHelp Help! All my content has disappeared from my account - it says 'no items found' and I should have several hundred books and samples in there (833 items according to my Kindle). Everything seems OK with my Kindle and all my books etc are still in my library.,digital_devices_technical_support,auto_handle,,Provide device-specific troubleshooting steps or registration/login help.,,,,partially_usable,digital_devices_technical_support
492191,492191,I don’t remember using Touch ID to login to the Amazon app before @115830 @AmazonHelp when did you guys implement this https://t.co/MmzzxtyNOp,account_access_security,auto_handle,,": Guide password reset/2FA; if suspected compromise, secure account and escalate if needed.",,,,usable,account_access_security
458938,458938,@AmazonHelp 14 captcha codes in a row - I pay Prime I buy on this laptop a lot - have you been hacked?,account_access_security,escalate,account security,"Guide password reset/2FA; if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
574507,574507,"@AmazonHelp I'm 45 minutes into a chat session trying to resolve an order where to wrong item was sent.  Don't know if these chat reps are not empowered or if a language barrier exists, but can someone help resolve a routine issue?  So frustrating!",damaged_defective_wrong_item,auto_handle,,; guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,damaged_defective_wrong_item
232878,232878,@AmazonHelp Is This Combo is Available in India 👇 If yes What will be the price https://t.co/xqDMXgfGBW,other_miscellaneous_feedback,auto_handle,,oute compliment or general query to appropriate team.,,,,partially_usable,other_miscellaneous_feedback
459962,459962,So my @AmazonHelp order says delivered and that it was left in my (locked) mailbox at my apartment. It’s not there.,missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
465806,465806,"@AmazonHelp If your own Amazon carrier can't delivery a package and you can't readily do a replacement shipment, your best is to refund?  What a disappointment.  I am not even asking for you to honor a price mistake!",return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
111854,111854,@AmazonHelp one of your parcel people just parked outside my house looked at my door and left I'm just wondering if he's driven off +,other_miscellaneous_feedback,auto_handle,,route compliment or general query to appropriate team.,,,,usable,other_miscellaneous_feedback
163516,163516,@AmazonHelp again my package came with the wrong quantity. The replacement that was sent to me was again 1 pillow and not the set of 4 as advertised. 3 orders in a row with the wrong quantity.,damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,return_refund_request
566618,566618,@AmazonHelp why is it taking so long to answer my messages on DM? getting frustrated and would just like help regarding my issue i’m having with an order cancellation/refund.,return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
365634,365634,@AmazonHelp I can’t register my kindle. Had to deregister it and now it’s saying my account email/password not recognised. Help!!!!!,account_access_security,auto_handle,,,,,,partially_usable,account_access_security
503418,503418,@AmazonHelp tracking my parcel says it was handed to resident. This is a lie. I have been in all evening and nothing has been delivered. Please can you send item again at no cost to myself.,missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,usable,missing_stolen_delivery
326676,326676,@AmazonHelp may I know how to reset my kindle device. I have forgotten my password and I am unable to open it,account_access_security,auto_handle,,,,,,partially_usable,account_access_security
559804,559804,"@115817 @UPSHelp WHAT DA FAK is going on guys? one package that was “delivered” did not arrive and another is 2 days past delivery date #whereisit. hey @AmazonHelp, #alexaislost and alone. #savealexa #fireUPS #notfunny https://t.co/xDecZtX5jl",missing_stolen_delivery,auto_handle,,,,,,partially_usable,other_miscellaneous_feedback
567602,567602,@AmazonHelp it’s bullshit that you say my package was guaranteed to be delivered today but guess what? It wasn’t!!!,missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
259413,259413,"Hey @115833 @AmazonHelp Your new Echo's can stream music in multi rooms, does this work on your older model as well?",digital_devices_technical_support,auto_handle,,: Provide device-specific troubleshooting steps or registration/login help.,,,,partially_usable,digital_devices_technical_support
523374,523374,"Instead of extending my Prime membership for a free month due to order screw-up, @115821 DOUBLE-CHARGED me $107.66 and CANCELLED Prime. Now I’m out $275 (including refund for order never received) Amazon has gone downhill. Don’t see a reason to pay for Prime anymore. @AmazonHelp",return_refund_request,escalate,financial refund or billing transaction dispute,. Confirm return eligibility; provide return instructions or process refund if already returned.,,,,partially_usable,missing_stolen_delivery
510378,510378,"@117795 so I tell u that u send me a smashed bottle of vodka n n email back asym I don’t know what u miss , r u taking the mick? It’s almost offensive! #amazon @AmazonHelp",damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,damaged_defective_wrong_item
316310,316310,"@AmazonHelp sumthing wrong in my account, lost prime membership, no order history, cust service not taking my calls. Manisha Chandnani",prime_membership_billing,auto_handle,,explain charges or adjust trial/membership as appropriate.,,,,usable,prime_membership_billing
561689,561689,"@AmazonHelp Hi, keep getting an error after entering my password on app (something went wrong...) and unable to place orders as well (see video). Any ideas? https://t.co/ts1man3SK7",account_access_security,auto_handle,,,,,,usable,account_access_security
129236,129236,"@115851 @AmazonHelp @115850 
You guys have not delivered my item and have refused my refund. What do you want me to do? Just because your information says delivered, you are refusing to help. Its already close to a month and you are not doing anything.",missing_stolen_delivery,escalate,complex technical issue / off-policy / unresolvable without human,,,,,partially_usable,missing_stolen_delivery
269800,269800,"OK, @AmazonHelp, #CHIvsGB won't play on TV because ""live content isn't supported on this device""? Works fine on iPad. Am Prime customer. https://t.co/NC3iPs4wGx",digital_devices_technical_support,auto_handle,,Provide device-specific troubleshooting steps or registration/login help.,,,,usable,digital_devices_technical_support
442830,442830,"@AmazonHelp Your Leadership advisor named ""Arun"" has lied to me. He failed to add the gift card amt of Rs.150 which was promised. Kindly listen to the call and confirm actions taken.",missing_stolen_delivery,escalate,: High-value item marked delivered but not received / Customer service refusal,,,,,partially_usable,promotions_gift_cards_policy
585813,585813,@115821 @AmazonHelp was supposed to deliver an iPhone to my kid 2day.Tracking shows we received it! We haven't.Customer care refuses to help,promotions_gift_cards_policy,auto_handle,,: Clarify promotion/gift-card terms; check eligibility or code delivery status.,,,,usable,delivery_delay_tracking
191623,191623,Preordered #StarWarsBattlefrontII from @115821 and I haven’t received my code for the beta @AmazonHelp,delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,usable,promotions_gift_cards_policy
153603,153603,@AmazonHelp How can I request a delivery fee refund? I was due an item today which has now been delayed by a day or 2,missing_stolen_delivery,auto_handle,,pen investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,return_refund_request
285119,285119,@AmazonHelp order is not delivered but its showing delivery maybe the delivery executive handed to other person or wrong address https://t.co/oVIjGecruQ,other_miscellaneous_feedback,auto_handle,,,,,,partially_usable,missing_stolen_delivery
449967,449967,"Okay @AmazonHelp I'm confused. How have I ended up with two different Amazon accounts for one email address? Different address books, payment methods and wishlists.",missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,other_miscellaneous_feedback
335694,335694,@AmazonHelp @115850 @115821 Status is updated as delivered but item is not delivered.  #falsecommitment.,account_access_security,auto_handle,,,,,,partially_usable,missing_stolen_delivery
418803,418803,why i can't login to Amazon?? hhhmm cc: @AmazonHelp https://t.co/GsmMUoh5ut,account_access_security,auto_handle,Complex / sensitive / long-running or order-specific issue requiring human review,,,,,partially_usable,account_access_security
69787,69787,"Amazon.in is the biggest fraud in this country guys boycott this company they are cheating us by delivering empty boxes and not even giving the refund for this , i will upload the cctv camera footage of my house and show it to everyone @AmazonHelp",return_refund_request,escalate,Complex / sensitive / long-running or order-specific issue requiring human review,,,,,partially_usable,return_refund_request
233505,233505,@AmazonHelp requested replacement item as wrong item received still no news on either return or replacement! Help! https://t.co/4Uv0fi6ril,damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,usable,damaged_defective_wrong_item
253981,253981,"@AmazonHelp Hello, I've been trying to return something for over a month. Contacted 3x, informed each time return is approved. Next step?",return_refund_request,escalate,financial refund or billing transaction dispute,Confirm return eligibility; provide return instructions or process refund if already returned.,,,,usable,return_refund_request
498479,498479,@AmazonHelp Currently trying to return a £7.99 book to you and there are no options to do so that don't cost me £3.99 which is absolutely appalling? AS IF it costs £4 to send something back?!?!,return_refund_request,auto_handle,,,,,,partially_usable,return_refund_request
421421,421421,@AmazonHelp I'm planning to buy the echo dot in India which comes with one year prime. What if i have an existing prime subscription?,digital_devices_technical_support,auto_handle,,Provide device-specific troubleshooting steps or registration/login help.,,,,partially_usable,prime_membership_billing
96750,96750,"@AmazonHelp hi, I had two packages delivered yesterday via amazon shipping, tracking says they were handed to resident but no one in my house has received them?",missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,usable,missing_stolen_delivery
9129,9129,@AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,account_access_security,escalate,requires account authentication & private PII lookup,,,,,usable,account_access_security
487742,487742,@116090 Prime “guaranteed” 2-day shipping has turned into 6-day shipping. @AmazonHelp’s first reaction was to extend my Prime membership by 30 days. Oh great. A free month of the thing that isn’t working. Now I feel stupid for ordering simple things online.,prime_membership_billing,auto_handle,,,,,,partially_usable,prime_membership_billing
99777,99777,"@AmazonHelp you guys literally have no idea how to process a return. Every time I call, it's like I'm teaching a new lesson to a new person. ????",return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,usable,return_refund_request
313664,313664,Delivered defective order and now telling me to courier it. Companies like @118702 Replace it by coming home.@115850 @AmazonHelp see it https://t.co/qn6Dxrqjjo,damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,damaged_defective_wrong_item
244101,244101,Bad experience after 2 years of  #AmazonIndia &amp; that 2 #prime member. Got wrong product delivery. @115850 @AmazonHelp ..Trust cm 2 an end.,damaged_defective_wrong_item,auto_handle,,guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,prime_membership_billing
302627,302627,@AmazonHelp I've waited all day for my delivery and it never came. It's nearly 11pm now. https://t.co/Mh1taUdjFe,other_miscellaneous_feedback,auto_handle,,route compliment or general query to appropriate team.,,,,partially_usable,other_miscellaneous_feedback
292785,292785,@AmazonHelp how do l apply a us gift card to my amazon Mx account? Help!,promotions_gift_cards_policy,auto_handle,,Clarify promotion/gift-card terms; check eligibility or code delivery status.,,,,usable,promotions_gift_cards_policy
35172,35172,"Ordered via @AmazonHelp, notified its been delivered. Get home, not delivered. Request them to investigate, their response.Salt in the wound https://t.co/AmxnePgcpF",missing_stolen_delivery,auto_handle,,: Confirm delivery status; open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
505953,505953,.@AmazonHelp it's confusing why your staff member Simone would lie about my refund. Should I expect to lied to when ordering items from your company @115821?? https://t.co/R0amWG20PF,return_refund_request,escalate,complex technical issue / off-policy / unresolvable without human,Confirm return eligibility; provide return instructions or process refund if already returned,,,,usable,return_refund_request
149247,149247,"@AmazonHelp I received a package of what was supposed to be silicone baking mats, but instead was a wi-fi modem/router. How can I get my baking mats shipped to me? On the app I only see options to return an item.",return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,partially_usable,digital_devices_technical_support
170915,170915,@AmazonHelp bought a Fire 7 today. Won’t allow me to register as says email address already exists. Can’t change password as it won’t accept post code on password change.,account_access_security,auto_handle,,"Guide password reset / 2FA; if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
384408,384408,@AmazonHelp can I get anything more accurate then “before 9pm tonight”?!?,other_miscellaneous_feedback,auto_handle,,Acknowledge feedback; route compliment or general query to appropriate team.,,,,partially_usable,other_miscellaneous_feedback
483721,483721,@AmazonHelp does Amazon no longer provide refund if the same item price drops on it's website after 2 days of delivery??,return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
235171,235171,@AmazonHelp @115850 Exchange offers don't work with Lightning deals? That's a big let down!,return_refund_request,auto_handle,,,,,,partially_usable,return_refund_request
89275,89275,"@AmazonHelp 
Hi, is it possible for @115830  to individually wrap small items (for stocking fillers) I'm thinking?",other_miscellaneous_feedback,auto_handle,,,,,,usable,other_miscellaneous_feedback
105216,105216,"@AmazonHelp Hi!  I am about to place an order that includes 3 books.  The ""BUT3GET30"" coupon code for 30% off books is not working.  Can you help?",promotions_gift_cards_policy,auto_handle,,Clarify promotion/gift-card terms; check eligibility or code delivery status.,,,,partially_usable,promotions_gift_cards_policy
447306,447306,@AmazonHelp hi! How worried should I be if my package was 2 days late with no updates for 3 days on its status? xD,delivery_delay_tracking,auto_handle,,,,,,partially_usable,delivery_delay_tracking
274447,274447,"Dear @115821 @AmazonHelp team 
I got faulty charger with phone. ""Don't fool customers"". Provide concrete solution. https://t.co/iXvIZbxXPK",damaged_defective_wrong_item,auto_handle,,Apologize; guide to returns/replacement portal or arrange pickup for damaged/wrong item.,,,,partially_usable,damaged_defective_wrong_item
595765,595765,@AmazonHelp glad I pay for my Prime Membership and don't get my 2 day guaranteed shipping. Doubting if prime is even worth it anymore... https://t.co/7E0nUcAUIl,prime_membership_billing,auto_handle,,explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
480412,480412,"@AmazonHelp Please call Amazon logistics and tell them to get it together. 3 lost packages in 2 months. They get lost after arriving in Smyrna, Ga. Logistics Location. What gives?",delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,partially_usable,delivery_delay_tracking
311023,311023,@AmazonHelp you do not cater exchange offer in our pincode. That's bad. We are not able to shop with your site,return_refund_request,auto_handle,,Confirm return eligibility; provide return instructions or process refund if already returned.,,,,usable,return_refund_request
313438,313438,@AmazonHelp Registered a request for replacememt of a defective product 2 weeks back. Twice has it been cancelled/not executed.,damaged_defective_wrong_item,auto_handle,,,,,,partially_usable,damaged_defective_wrong_item
572411,572411,"@AmazonHelp 
We are in the process of arguing with a less than helpful customer service rep. Our prime account has been hacked and this guy wanted to waste 24 hours with our bank information. Not happy!",account_access_security,escalate,Account security,"Guide password reset/2FA; if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
386478,386478,"@115850 @AmazonHelp @115821 - Order# 408-3265294-3245900,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",prime_membership_billing,escalate,complex technical issue / off-policy / unresolvable without human,,,,,partially_usable,prime_membership_billing
475091,475091,Hey @AmazonHelp I have a consigment of 2 orders showing as delivered but nowhere to be seen. Currently stuck in a cycle of going to your various carriers' websites and none recognise the tracking number...,delivery_delay_tracking,auto_handle,,Check tracking status; provide latest ETA or advise contacting carrier if no movement.,,,,usable,delivery_delay_tracking
64072,64072,"@AmazonHelp @115821 your customer service agents try but can’t solve real problems. I have regular issues with Amazon and no one ever does anything different. As a long time prime member, I don’t feel valued at all nor do I get “prime” service. Want someone higher up to hear me.",prime_membership_billing,escalate,Complex / sensitive / long-running or order-specific issue requiring human review,. Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
111724,111724,"@AmazonHelp just checked account online and says parcel delivered, handed to resident - no parcel here!!!",missing_stolen_delivery,auto_handle,,: Confirm delivery status; open investigation or offer replacement/refund if marked delivered but missing.,,,,partially_usable,missing_stolen_delivery
124015,124015,@AmazonHelp why am debited for a prime membership to an account you guys suspended!,prime_membership_billing,escalate,Billing anomaly,Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
342972,342972,"@AmazonHelp Dealing with customer support for an order, and I don't understand what they are doing, I requested info on fulfilment, got refund for a totally different item, but not info, confused. Please help.",return_refund_request,auto_handle,,provide return instructions or process refund if already returned.,,,,usable,return_refund_request
340904,340904,@AmazonHelp I was a Amazon prime member but I cancel my membership in 2015.i was wondering how can I get it back?,return_refund_request,escalate,Billing anomaly,Confirm return eligibility; provide return instructions or process refund if already returned.,,,,partially_usable,prime_membership_billing
215988,215988,"@AmazonHelp hi! Just a quick one, I ordered a couple things last week but cancelled them straight away due to change of plans, but I've been charged for them anyway? Still no refund.. please help! Xx",return_refund_request,escalate,Prolonged unresolved refund,Confirm return eligibility; provide return instructions or process refund if already returned.,,,,partially_usable,return_refund_request
36505,36505,"@AmazonHelp Why is there a box that says I can pre-order Songs of Experience - and listen to 2 songs - but I click &amp; it says ""not found""?",promotions_gift_cards_policy,auto_handle,,,,,,partially_usable,promotions_gift_cards_policy
173480,173480,@AmazonHelp I can't sign on to my account. When I ask for a password reset no email comes with a code. Help!!,account_access_security,auto_handle,,"if suspected compromise, secure account and escalate if needed.",,,,partially_usable,account_access_security
179716,179716,"@AmazonHelp @115850 Ordered iPhone with 1 day delivery..Phn not rcvd ..got fake messages that due to unavailability,not delivered????",missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing,,,,partially_usable,missing_stolen_delivery
15707,15707,@AmazonHelp have a query regarding cash back during 14-17 October sale. Email/DM ?,promotions_gift_cards_policy,auto_handle,,,,,,usable,promotions_gift_cards_policy
149293,149293,@AmazonHelp Would be super nice if one of your delivery drivers didn't ring my doorbell six times in a row when I have a migraine! 😣,other_miscellaneous_feedback,auto_handle,,Acknowledge feedback; route compliment or general query to appropriate team.,,,,usable,digital_devices_technical_support
140898,140898,"@AmazonHelp @115830 Received a parcel today with a £15 Amazon gift card in with it, why is this? A giveaway I didn't know about? Haha!",promotions_gift_cards_policy,auto_handle,,,,,,partially_usable,promotions_gift_cards_policy
19469,19469,"@AmazonHelp I was scammed. 6 orders, all sellers are gone and nothing send to me, how could I do now? how to stop my prime membership?",prime_membership_billing,escalate,Complex / sensitive / long-running or order-specific issue requiring human review,,,,,usable,prime_membership_billing
553431,553431,"@AmazonHelp my parcel I waited all day for. Delivery man didn't utter a word, one item missing. https://t.co/zykg686IB2",missing_stolen_delivery,auto_handle,,open investigation or offer replacement/refund if marked delivered but missing.,,,,usable,other_miscellaneous_feedback
156772,156772,"@AmazonHelp my daughters kindle screen is breaking, who do I need to contact?",digital_devices_technical_support,auto_handle,,: Provide device-specific troubleshooting steps or registration/login help.,,,,partially_usable,digital_devices_technical_support
332385,332385,@AmazonHelp suggestion: make a Amazon casting app to mirror my mobile on to firestick cause old smart TV's don't support new ver. miracast..,digital_devices_technical_support,auto_handle,,,,,,partially_usable,digital_devices_technical_support
110000,110000,"@115830 @AmazonHelp Hi, I changed my Prime membership to monthly pay but you still took the £79 yearly fee out, how do I get that refunded either fully or minus the £7.99 monthly fee???",prime_membership_billing,auto_handle,,Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,partially_usable,prime_membership_billing
463380,463380,"@115821 As a Prime member, I've been disappointed in your delivery times, recently. Fast shipping is the primary reason I pay for Prime. My order was supposed to be delivered, yesterday, and still waiting. If I wanted a shitty shopping experience, I'd go to Walmart. @AmazonHelp",prime_membership_billing,auto_handle,,Review membership status/billing; explain charges or adjust trial/membership as appropriate.,,,,usable,prime_membership_billing
210395,210395,"@AmazonHelp I ordered Battlefront II Deluxe for PS4, and haven't gotten my beta code yet. Seems others have this issue too. Help?",promotions_gift_cards_policy,auto_handle,,Clarify promotion/gift-card terms; check eligibility or code delivery status.,,,,partially_usable,promotions_gift_cards_policy
